region;region_nom
1;dakar
2;ziguinchor
3;diourbel
4;SAINT-LOUIS
5;tambacounda
6;kaolack
7;thies
8;louga
9;fatick
10;kolda
11;matam
12;kaffrine
13;kedougou
14;sedhiou
