region;region_nom
1;AUTONOME D'ABIDJAN
2;HAUT-SASSANDRA
3;poro
4;gbeke
5;INDENIE-DJUABLIN
6;tonkpi
7;yamoussoukro
8;gontougo
9;SAN-PEDRO
10;kabadougou
11;N'ZI
12;marahoue
13;SUD-COMOE
14;worodougou
15;L‘H-DJIBOUA
16;AGNEBY-TIASSA
17;g‘h
18;cavally
19;bafing
20;bagoue
21;belier
22;bere
23;bounkani
24;folon
25;gb‘kle
26;GRANDS-PONTS
27;guemon
28;hambol
29;iffou
30;LA ME
31;nawa
32;tchologo
33;moronou
