"vague","grappe","menage","s01q00a","s01q01","s01q02","s01q03a","s01q03b","s01q03c","s01q04a","s01q04b","s01q05","s01q06","s01q06a","s01q06b__1","s01q06b__2","s01q06b__3","s01q06b__4","s01q06b__5","s01q07","s01q08","s01q09__0","s01q09__1","s01q09__2","s01q09__3","s01q10","s01q11","s01q12","s01q13","s01q14","s01q15","s01q16","s01q16r","s01q17","s01q18","s01q19","s01q20","s01q20a1","s01q20a2","s01q20a3","s01q20b","s01q20c","s01q20d","s01q20e","s01q20f","s01q20g","s01q20h","s01q20i","s01q21","s01q22","s01q24","s01q25","s01q26","s01q27","s01q28","s01q29","s01q31","s01q32","s01q33","s01q34","s01q35","s01q36","s01q37","s01q38","s01q39__1","s01q39__2","s01q39__3","s01q39__4","s01q39__5","s01q23","s01q30"
2,1,8,5,1,3,9999,9999,2013,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,1,8,1,1,1,9999,9999,1975,,,,,,,,,,,3,1,2,,,,20,1,1,,1,6,,,2,,3,15,,,,,,,,,,,,9,2,1,1,1,7,4,2,1,1,1,7,4,2,2,,0,0,0,0,0,,
2,1,8,3,1,3,9999,9999,2015,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,1,8,7,2,3,9999,9999,2006,,,2,,,,,,,,1,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,2,,0,0,0,0,0,1,2
2,1,8,2,2,2,9999,9999,1985,,,,,,,,,,,3,1,1,,,,15,1,1,,1,6,,,2,,3,15,,,,,,,,,,,,9,2,1,1,1,7,4,2,1,1,1,7,4,2,2,,0,0,0,0,0,,
2,1,9,2,2,3,9999,9999,2018,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,2,9,7,4,1,,,,,,,,,,,,,,,1
2,1,9,4,2,3,9999,9999,2013,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,2,9,7,4,1,,,,,,,,,,,,,,,1
2,1,9,3,2,3,9999,9999,2015,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,2,9,7,4,1,,,,,,,,,,,,,,,1
2,1,9,1,2,1,9999,9999,1990,,,,,,,,,,,2,2,,,,,15,1,1,,1,6,,,1,1,3,1,,,,,,,,,,,,9,2,1,1,1,7,4,2,2,1,0,,,2,2,,0,0,0,0,0,,
2,1,10,2,2,3,9999,9999,2016,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,1,2,1,,,,,,,,,,,,3,2,1,1,1,7,4,1,,,,,,,,,,,,,,,1
2,1,10,1,2,1,9999,9999,1994,,,,,,,,,,,3,2,,,,,15,1,1,,1,6,,,1,1,2,1,,,,,,,,,,,,9,2,2,1,1,7,4,2,1,1,1,7,2,1,,0,0,0,0,0,0,,
2,1,11,1,1,1,9999,9999,1960,,,,,,,,,,,3,1,2,,,,25,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,2,1,1,7,2,2,2,1,0,,,1,,0,0,0,0,0,0,,
2,1,11,2,2,2,9999,9999,1978,,,,,,,,,,,3,1,1,,,,15,1,1,,1,6,,,1,1,3,3,,,,,,,,,,,,9,2,2,1,1,7,4,2,1,1,0,,,2,2,,0,0,0,0,0,,
2,1,11,3,2,3,1,1,2003,,,,,,,,,,,1,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,2,,0,0,0,0,0,1,2
2,1,12,1,1,1,9999,9999,1969,,,,,,,,,,,2,1,2,,,,29,1,1,,1,6,,,1,1,3,1,,,,,,,,,,,,3,2,2,1,1,7,4,2,2,1,0,,,2,2,,0,0,0,0,0,,
2,1,12,3,1,3,9999,9999,2017,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,1,12,5,2,3,9999,9999,2012,,,2,,,,,,,,,,,,,,,1,2,1,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,1,12,4,1,3,9999,9999,2015,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,1,12,2,2,2,9999,9999,1984,,,,,,,,,,,2,1,1,,,,18,1,1,,1,6,,,1,1,3,1,,,,,,,,,,,,9,2,2,1,1,7,4,2,1,1,0,,,2,2,,0,0,0,0,0,,
2,2,1,3,2,3,9999,9999,9999,8,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,1,2,2,2,9999,9999,9999,45,,,,,,,,,,3,1,1,,,,20,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,2,1,1,7,4,2,1,1,1,7,4,2,2,,0,0,0,0,0,,
2,2,1,6,1,3,9999,9999,9999,15,,,,,,,,,,1,,,,,,,2,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,2,,0,0,0,0,0,1,2
2,2,1,9,1,3,10,3,2017,,,1,2,,,,,,,,,,,,,,2,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,7
2,2,1,12,2,4,9999,9999,9999,80,,,,,,,,,,5,,,,,,16,1,1,,1,6,,,2,,3,16,,,,,,,,,,,,9,2,2,1,1,7,4,2,2,1,0,,,2,2,,0,0,0,0,0,,
2,2,1,4,2,3,9999,9999,9999,11,,1,2,,,,,,,1,,,,,,,2,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,2,,0,0,0,0,0,1,2
2,2,1,1,1,1,9999,9999,1967,,,,,,,,,,,3,1,2,7,10,,25,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,2,1,1,7,4,1,,,,,,1,,1500,0,0,0,0,0,,12
2,2,1,10,2,2,15,11,1991,,,,,,,,,,,3,1,1,,,,20,1,1,,1,6,,,2,,2,20,,,,,,,,,,,,9,2,1,2,6,7,4,2,1,1,0,,,1,,500,0,0,0,0,0,,
2,2,1,7,2,2,10,12,1986,,,,,,,,,,,3,1,1,,,,19,1,2,2,1,6,,,1,2,,,,,,,,,,,,,,,2,2,1,0,,,2,1,1,0,,,1,,200,0,0,0,0,0,,
2,2,1,8,2,3,22,11,2008,,,1,2,,,,,,,1,,,,,,,2,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,2,,0,0,0,0,0,1,7
2,2,1,11,1,3,9999,4,2015,,,1,2,,,,,,,,,,,,,,2,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,10
2,2,1,5,2,3,9999,9999,9999,11,,1,2,,,,,,,1,,,,,,,2,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,2,,0,0,0,0,0,1,2
2,2,2,2,2,2,9999,9999,9999,24,,,,,,,,,,2,1,1,,,,16,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,1,5,7,4,2,1,1,0,,,1,,500,0,0,0,0,0,,
