"vague","grappe","menage","s01q00a","s01q01","s01q02","s01q03a","s01q03b","s01q03c","s01q04a","s01q04b","s01q05","s01q06","s01q06a","s01q06b__1","s01q06b__2","s01q06b__3","s01q06b__4","s01q06b__5","s01q07","s01q08","s01q09__0","s01q09__1","s01q09__2","s01q09__3","s01q10","s01q11","s01q12","s01q13","s01q14","s01q15","s01q16","s01q16r","s01q17","s01q18","s01q19","s01q20","s01q20a1","s01q20a2","s01q20a3","s01q20b","s01q20c","s01q20d","s01q20e","s01q20f","s01q20g","s01q20h","s01q20i","s01q21","s01q22","s01q24","s01q25","s01q26","s01q27","s01q28","s01q29","s01q31","s01q32","s01q33","s01q34","s01q35","s01q36","s01q37","s01q38","s01q39__1","s01q39__2","s01q39__3","s01q39__4","s01q39__5","s01q23","s01q30"
2,2,2,4,2,3,9999,9999,2014,,,1,2,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,2,1,1,1,9999,9999,1990,,,,,,,,,,,2,1,2,,,,19,1,1,,1,6,,,2,,2,7,,,,,,,,,,,,3,2,1,1,5,7,4,2,1,1,0,,,1,,2000,1,0,0,0,0,,
2,2,2,3,1,3,9999,9999,2016,,,1,2,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,3,7,1,3,9999,9999,9999,10,,1,2,,,,,,,1,,,,,,,2,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,2,2,,0,0,0,0,0,1,2
2,2,3,4,2,3,9999,9999,9999,2,3,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,3,6,1,3,9999,9999,9999,7,,2,,,,,,,,,,,,,,,2,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,3,5,2,3,9999,9999,9999,5,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,3,2,2,2,9999,9999,9999,30,,,,,,,,,,2,1,1,,,,20,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,1,5,7,4,2,1,1,0,,,1,,500,0,0,0,0,0,,
2,2,3,3,1,3,9999,5,2019,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,3,1,1,1,9999,9999,9999,37,,,,,,,,,,2,1,2,,,,15,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,1,5,7,4,2,2,1,0,,,1,,1000,0,0,0,0,0,,
2,2,4,2,2,2,9999,9999,1995,,,,,,,,,,,2,1,1,,,,23,1,1,,1,6,,,2,,2,23,,,,,,,,,,,,9,2,1,1,5,7,4,2,1,3,0,,,1,,500,0,0,0,0,0,,
2,2,4,3,1,3,20,11,2017,,,1,2,,,,,,,,,,,,,,1,1,,1,6,,,2,,2,0,,,,,,,,,,,,3,1,,,,,,1,,,,,,,,,,,,,,1,2
2,2,4,1,1,1,30,7,1967,,,,,,,,,,,2,1,2,,,,25,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,2,1,1,1,7,4,2,2,1,0,,,1,,1500,1,0,0,0,0,,
2,2,5,3,1,3,9999,9999,2016,,,2,,,,,,,,,,,,,,,1,1,,1,6,,,1,2,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,1,2
