"vague","grappe","menage","s11q01","s11q02","s11q03__1","s11q03__2","s11q03__3","s11q04","s11q05","s11q06","s11q07","s11q08","s11q09a","s11q09b__0","s11q09b__1","s11q09b__2","s11q09b__3","s11q09b__4","s11q09b__5","s11q09b__6","s11q09b__7","s11q09b__8","s11q09b__9","s11q09b__10","s11q09b__11","s11q09b__12","s11q09b__13","s11q09b__14","s11q09b__15","s11q10","s11q11","s11q12","s11q13","s11q14","s11q15","s11q16","s11q17","s11q18","s11q19","s11q20","s11q21","s11q22","s11q23","s11q24a","s11q24b","s11q25","s11q26","s11q27a","s11q27b","s11q28","s11q29a","s11q29b_heure","s11q29b_minute","s11q30","s11q31a","s11q31b_heure","s11q31b_minutes","s11q32","s11q33__1","s11q33__2","s11q33__3","s11q33__4","s11q33__5","s11q33__6","s11q33__7","s11q34","s11q35","s11q36","s11q37a","s11q37b","s11q38","s11q39","s11q40","s11q41","s11q42","s11q43","s11q44","s11q45a","s11q45b","s11q46","s11q47","s11q48a","s11q48b","s11q49","s11q50","s11q51","s11q52a","s11q52b","s11q53__1","s11q53__2","s11q53__3","s11q53__4","s11q53__5","s11q53__6","s11q53__7","s11q53__8","s11q54","s11q55","s11q56","s11q57","s11q58","s11q59","s11q60","s11q61","s11q62","s11q63","s11q64__1","s11q64__2","s11q64__3","s11q64__4","s11q64__5","s11q64__6","s11q64__7","s11q65","s11q66","s11q67","s11q68","s11q00"
1,3,3,5,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,7,5,3,2,,,,2,,6,6,500,4,0,10,500,4,0,10,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,2,0,0,0,0,0,5,11,,,,,4,,,,,,,,,,,,,,,1
1,3,4,4,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,7,5,3,2,,,,2,,6,6,50,2,0,30,50,2,0,15,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,11,,,,,4,4,,,,,,,,,,,,,,2
1,3,5,4,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,7,5,3,2,,,,2,,6,6,500,6,2,0,500,5,1,0,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,11,,,,,4,,,,,,,,,,,,,,,1
1,3,7,5,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,7,5,3,2,,,,2,,6,6,30,1,0,3,30,1,0,1,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,2,0,0,0,0,0,5,11,,,,,4,6,,,,,,,,,,,,,,1
1,3,8,7,2,0,0,0,1,,,,,2,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,8,7,3,2,,,,2,,6,6,500,8,2,0,500,8,1,0,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,11,,,,,4,6,,,,,,,,,,,,,,2
1,3,9,4,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,7,5,3,2,,,,2,,6,6,25,1,0,5,25,1,0,5,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,11,,,,,4,,,,,,,,,,,,,,,1
1,3,10,5,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,7,5,3,2,,,,2,,6,6,200,3,0,10,200,3,0,10,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,2,0,0,0,0,0,5,11,,,,,4,6,,,,,,,,,,,,,,1
1,3,11,4,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,7,5,3,2,,,,2,,6,6,150,5,0,30,150,5,0,30,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,11,,,,,4,6,,,,,,,,,,,,,,1
1,3,12,7,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,7,7,3,2,,,,2,,6,6,15,1,0,10,15,1,0,10,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,11,,,,,4,6,,,,,,,,,,,,,,2
1,3,14,4,2,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,5,3,2,,,,2,,4,4,80,4,0,10,80,4,0,5,2,,,,,,,,4,,,,,6,,,,,2,,,,2,,,,,2,,,,0,0,0,1,0,0,0,0,5,11,,,,,4,4,,,,,,,,,,,,,,2
1,3,15,7,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,8,8,3,2,,,,2,,6,8,200,200,0,10,200,3,0,3,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,11,,,,,4,,,,,,,,,,,,,,,2
2,4,1,4,2,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,2,2,,,,1,6000,4,4,60,2,0,6,60,2,0,6,2,,,,,,,,4,,,,,6,,,,,2,,,,2,,,,,2,,,,0,0,1,0,0,0,0,0,2,3,2,,2,1,1,3,,,,,,,,,,,,,,1
2,4,3,4,3,0,0,0,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,8000000,2,,2,7,7,3,1,,2500,2,2,,1,1,0,,,,0,,,,2,,,,,,,,2,,1,4500,2,1,1,2,2,4,2,,,,2,,,,,2,,,,0,1,0,0,0,0,0,0,2,3,2,,2,1,1,3,,,,,,,,,,,,,,2
2,4,4,4,2,0,0,0,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,6000000,2,,2,7,7,3,2,,,,1,4000,4,4,40,1,0,5,40,1,0,5,2,,,,,,,,2,,1,3000,2,1,1,2,2,4,2,,,,2,,,,,2,,,,0,0,1,0,0,0,0,0,2,4,2,,2,1,1,3,,,,,,,,,,,,,,1
2,4,6,2,5,1,0,1,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,13000000,2,,2,4,3,2,2,,,,1,11250,16,16,0,,,,0,,,,2,,,,,,,,1,,1,10000,2,1,1,1,1,4,2,,,,2,,,,,2,,,,0,0,0,1,0,0,0,0,5,8,2,,4,4,4,1,,,,,,,,,,,,,,1
2,4,7,1,5,1,0,1,1,,,,,1,1,,,,,,,,,,,,,,,,2,,,,1,4500000,2,,2,1,3,1,1,,25000,2,2,,2,2,0,,,,0,,,,2,,,,,,,,1,,1,40000,2,1,1,2,1,3,2,,,,2,,,,,2,,,,0,0,0,1,0,0,0,0,2,8,2,,2,1,4,1,,,,,,,,,,,,,,1
2,4,8,5,1,0,0,0,3,,,,,2,,,,,,,,,,,,,,,,,1,1,,,2,,2,,2,7,5,3,2,,,,1,15750,16,16,0,,,,0,,,,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,0,2,1,0,0,0,0,0,5,4,1,2,2,1,4,2,,,,,,,,,,,,,,2
