"country","hhid","logem","mur","toit","sol","eauboi_ss","eauboi_sp","elec_ac","elec_ur","elec_ua","ordure","toilet","eva_toi","eva_eau","tv","fer","frigo","cuisin","ordin","decod","car","superf","grosrum","petitrum","porc","lapin","volail","sh_id_demo","sh_co_natu","sh_co_eco","sh_id_eco","sh_co_vio","sh_co_oth"
"NER",4012,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,,,,,,,0,0,0,0,0,0
"NER",4013,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,0,1,0,1,0,0
"NER",4014,4,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,,,,,,,0,0,0,1,0,0
"NER",4015,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,1,,,,,,,1,0,0,0,0,1
"NER",5001,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,,,,,,,0,0,1,0,0,0
"NER",5002,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0
"NER",5003,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",5004,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,,,,,,,1,0,0,0,1,0
"NER",5005,4,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",5006,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0
"NER",5007,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1
"NER",5008,3,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,,0,2,0,0,0,1,0,0,0,0,0
"NER",5009,1,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,,,,,,,0,0,0,1,0,0
"NER",5010,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,1
"NER",5011,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,0,,,,,,,0,0,0,0,0,0
"NER",5012,4,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",6001,4,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,,,,,,,0,0,0,0,0,1
"NER",6003,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,,,,,,,1,0,0,0,0,0
"NER",6005,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,0,0,,,,,,,0,0,0,0,0,0
"NER",6006,4,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",6007,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,,0,5,0,0,12,0,0,0,0,0,0
"NER",6009,1,0,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,,,,,,,1,0,1,0,0,0
"NER",6010,3,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",6011,4,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",6012,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",6014,4,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,,,,,,,0,1,1,0,0,1
"NER",6015,3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,1,0,0
"NER",6016,3,0,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,,,,,,,0,0,0,0,0,0
"NER",7001,1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,,,,,,1,0,0,1,0,0
"NER",7002,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,0,0,0,1,0,0
"NER",7004,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,1,0,0,0
"NER",7005,2,1,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,1,0,0,1
"NER",7006,4,1,0,1,1,1,1,1,0,1,1,0,0,1,0,0,1,0,1,0,,,,,,,0,0,0,0,0,0
"NER",7007,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0
"NER",7008,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,,0,26,0,0,0,0,0,0,0,0,0
"NER",7009,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,,,,,,,1,0,1,0,0,1
"NER",7010,3,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0
"NER",7011,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,,,,,,,0,0,0,1,0,0
"NER",7012,4,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,1,1,0,0,0,0
"NER",7013,2,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",8002,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,1,,,,,,,0,0,0,0,0,0
"NER",8003,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",8004,1,0,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",8005,3,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,,,,,,,0,0,0,0,0,0
"NER",8006,1,1,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,1,,,,,,,0,0,0,0,0,0
"NER",8007,4,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,,,,,,,0,1,0,0,0,0
"NER",8009,1,1,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,,,,,,,0,0,0,0,0,0
"NER",8010,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,1,,,,,,,0,0,0,0,0,0
"NER",8011,4,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0
"NER",8012,3,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,,,,,,,0,0,0,0,0,0
"NER",8014,1,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,,,,,,,0,1,0,1,0,0
"NER",8016,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,,,,,,,0,0,0,1,0,1
"NER",9001,3,0,0,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,,0,1,0,0,0,0,0,0,0,0,0
"NER",9002,3,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",9003,4,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,,,,,,,1,0,1,1,0,0
"NER",9004,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,,,,,,,0,0,0,0,0,0
"NER",9005,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",9006,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",9007,1,0,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",9008,4,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",9009,3,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,,,,,,,0,1,0,0,0,0
"NER",9010,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,1,0,0,1,0,0
"NER",9011,3,1,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,,,,,,,0,0,0,1,0,0
"NER",9012,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,1,0,1,0,0,1
"NER",10001,3,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0
"NER",10002,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,0,1,1,0,0,0
"NER",10003,3,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,1,0,0,0,0,0
"NER",10004,3,0,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,,,,,,,0,0,0,0,0,0
"NER",10005,3,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,,0,0,1,1,0,0
