"vague","grappe","menage","s17q00","s17q01","s17q02","s17q03","s17q51","s17q38b","s17q34b","s17q04","s17q05","s17q06","s17q07a1","s17q07b1","s17q07c1","s17q07d1","s17q07e1","s17q07a2","s17q07a3","s17q07a4","s17q07b2","s17q07b3","s17q07b4","s17q07c2","s17q07c3","s17q07c4","s17q07d2","s17q07d3","s17q07d4","s17q07e2","s17q07e3","s17q08","s17q09","s17q10","s17q11","s17q12","s17q13","s17q14","s17q15__0","s17q15__1","s17q16","s17q17","s17q18a","s17q18b","s17q18c","s17q18d","s17q18e","s17q18f","s17q18g","s17q18h","s17q18i","s17q19","s17q20","s17q21","s17q22__0","s17q22__1","s17q23","s17q24a","s17q24b","s17q25","s17q26","s17q27__0","s17q27__1","s17q28","s17q29","s17q30","s17q31a","s17q31b","s17q32a","s17q32b","s17q33","s17q34a","s17q35","s17q36__0","s17q36__1","s17q37","s17q38a","s17q39","s17q40","s17q41__0","s17q41__1","s17q42","s17q43","s17q44","s17q45","s17q46","s17q47__0","s17q47__1","s17q48","s17q49","s17q50","s17q52","s17q53","s17q54","s17q55","s17q56","s17q57","s17q58","s17q59","s17q60","s17q61"
1,3,4,1,"Caprins (Chèvres)",3,1,4000,,,2,6,6,1,,,,,6,1,2,,,,,,,,,,,,0,,5,1,100,40000,2500,1,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3000,2,,,1,1200,2,,2,
1,3,5,1,"Pintades",10,1,,,,1,10,10,1,,,,,10,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,3,0,0,0,0,0,0,0,0,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,3,5,1,"Caprins (Chèvres)",3,1,11000,,,1,20,20,1,2,3,,,6,1,1,8,1,1,6,1,2,,,,,,0,,8,1,100,105000,4000,1,,1,1,0,2,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,1,5,7,0.25,2,0,,2,,,,,2,,2,,,,,,,,,,,,1,2,3500,2,,,1,4000,2,,2,
1,3,5,1,"Asins (Anes)",6,1,,,,1,3,3,1,2,,,,1,1,1,2,1,2,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,5,1,"Poules / poulets",9,1,,,,1,3,3,1,,,,,3,1,2,,,,,,,,,,,,0,,1,1,100,1500,0,1,,1,1,1,0,0,0,0,0,0,0,0,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,3,7,1,"Poules / poulets",9,1,,,,1,9,9,6,,,,,9,2,2,,,,,,,,,,,,0,,1,2,100,1250,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,3,7,1,"Caprins (Chèvres)",3,1,,,,1,4,4,1,,,,,4,1,2,,,,,,,,,,,,4,32000,6,2,100,63000,0,1,2,1,1,0,0,0,0,0,0,0,1,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,8,1,"Poules / poulets",9,1,,,,1,7,7,2,,,,,7,1,2,,,,,,,,,,,,0,,5,2,100,7750,0,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,3,8,1,"Asins (Anes)",6,1,,,,1,1,1,2,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,8,1,"Caprins (Chèvres)",3,1,6500,,,2,7,7,2,1,,,,5,1,1,2,1,2,,,,,,,,,0,,4,2,100,38000,0,1,,1,1,0,1,0,0,0,0,1,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1000,2,,,1,0,2,,2,
1,3,9,1,"Caprins (Chèvres)",3,1,,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,2,1,100,38000,2000,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,5,6,0.5,1,0,,2,,,,,2,,2,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,10,1,"Caprins (Chèvres)",3,1,,,,1,6,6,1,4,,,,1,1,1,5,1,2,,,,,,,,,0,,3,1,100,37000,0,1,4,1,1,0,1,0,0,0,0,0,0,2,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,1,4000,2,,2,
1,3,10,1,"Asins (Anes)",6,1,,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,10,1,"Poules / poulets",9,1,,,,1,24,24,1,4,,,,16,1,1,8,1,2,,,,,,,,,0,,3,1,100,5500,0,1,4,1,1,1,0,0,0,0,0,0,0,0,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,3,11,1,"Camelins (Chameaux)",4,1,,,,1,4,4,1,,,,,4,1,2,,,,,,,,,,,,0,,2,1,100,500000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,2,12,3,1,0,,2,,,,,2,,2,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,11,1,"Asins (Anes)",6,1,,,,1,4,4,2,,,,,4,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,11,1,"Bovins",1,1,3000,,,1,4,4,1,,,,,4,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,2,6,1.5,1,0,,2,,,,,2,,2,,,,,,,,,,,,1,6,10000,2,,,2,,2,,2,
1,3,11,1,"Caprins (Chèvres)",3,1,,,,1,21,21,1,,,,,21,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,1,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,11,1,"Ovins (Moutons)",2,1,,,,1,8,8,1,,,,,8,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,0,2,0,0,0,2,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,12,1,"Caprins (Chèvres)",3,1,,,,2,4,4,1,,,,,4,1,2,,,,,,,,,,,,0,,5,1,100,43000,3500,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,4,5,0.5,1,0.5,1,2,,,,,2,,2,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,12,1,"Poules / poulets",9,1,,,,2,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,3,14,1,"Pintades",10,1,,,,1,17,17,1,,,,,17,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,3,14,1,"Ovins (Moutons)",2,1,5000,,,2,3,3,1,,,,,3,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,0,1,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,1000,2,,,1,600,2,,2,
1,3,14,1,"Caprins (Chèvres)",3,1,,,,2,1,1,1,,,,,1,1,2,,,,,,,,,,,,1,10000,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,14,1,"Autres volailles",11,1,600,,,1,30,30,1,,,,,30,1,2,,,,,,,,,,,,0,,0,,,,,,,1,1,10,0,0,0,0,0,0,0,0,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,12,0,2,,,2,,2,,2,
1,3,15,1,"Caprins (Chèvres)",3,1,,,,2,4,4,1,3,2,,,1,1,1,2,1,1,1,1,2,,,,,,0,,3,1,100,34000,3500,1,3,2,,,,,,,,,,,,,,,,,,,,,,,1,2,7,0.25,1,0,,2,,,,,2,,2,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,15,1,"Poules / poulets",9,1,,,,2,7,7,1,,,,,7,1,2,,,,,,,,,,,,0,,1,1,100,1500,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
2,4,3,1,"Ovins (Moutons)",2,1,6000,,,2,2,2,2,1,,,,1,1,1,1,1,2,,,,,,,,,0,,2,1,100,130000,2000,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,4000,2,,,2,,2,,2,
2,4,6,1,"Camelins (Chameaux)",4,1,,,,1,10,10,1,,,,,10,1,2,,,,,,,,,,,,0,,2,1,100,530000,20000,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,0,2,,,2,,2,,2,
2,4,6,1,"Caprins (Chèvres)",3,1,5000,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,3,1,100,62500,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,2000,2,,,2,,2,,2,
1,5,7,1,"Ovins (Moutons)",2,1,90000,,,2,0,,,,,,,,,,,,,,,,,,,,,2,115000,0,,,,,,,1,1,0,2,0,0,0,0,0,0,0,2,,,,,1,2000,1000,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,2,,,2,,2,,2,
1,5,8,1,"Ovins (Moutons)",2,1,22000,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,2,55000,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,6000,2,,,1,2500,1,4000,1,4000
2,6,7,1,"Ovins (Moutons)",2,1,20000,,,10,5,5,1,,,,,5,1,2,,,,,,,,,,,,5,196000,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,5000,2,,,1,3000,2,,2,
2,6,7,1,"Pintades",10,1,,,,10,12,12,1,,,,,12,1,2,,,,,,,,,,,,12,24000,0,,,,,,,1,1,3,0,0,0,0,0,0,0,0,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,15,0,,,,15,2,,3000,2,,,2,,2,,2,
1,7,4,1,"Ovins (Moutons)",2,1,27000,,,1,1,1,3,,,,,1,1,2,,,,,,,,,,,,1,10000,0,,,,,,,1,1,0,2,0,0,0,0,0,0,0,2,,,,,1,5000,0,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,72000,2,,,2,,2,,2,
1,7,4,1,"Caprins (Chèvres)",3,1,,,,1,1,0,,,,,,,,,,,,,,,,,,,,1,10000,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,7,5,1,"Caprins (Chèvres)",3,1,,,,2,1,1,2,,,,,1,2,2,,,,,,,,,,,,0,,0,,,,,,,1,1,0,0,0,0,0,0,0,0,1,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,7,8,1,"Caprins (Chèvres)",3,1,,,,2,6,6,2,,,,,6,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,7,8,1,"Ovins (Moutons)",2,1,1800000,,,2,20,20,1,,,,,20,1,2,,,,,,,,,,,,13,325000,5,1,100,250000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,2,,,1,63000,2,,2,
1,9,1,1,"Ovins (Moutons)",2,1,49000,,,1,1,1,1,,,,,1,1,2,,,,,,,,,,,,2,100000,0,,,,,,,1,1,0,1,0,0,0,0,1,0,0,2,,,,,1,0,3000,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,135000,2,,,2,,1,1500,2,
1,9,12,1,"Ovins (Moutons)",2,1,48000,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,1,44000,4,1,100,100000,0,1,,1,1,0,2,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,54000,2,,,2,,2,,2,
2,10,6,1,"Ovins (Moutons)",2,1,5000,,,1,3,3,1,,,,,3,1,2,,,,,,,,,,,,3,100000,1,1,100,80000,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,3000,2,,,2,,2,,2,
2,10,7,1,"Caprins (Chèvres)",3,1,3000,,,2,3,3,2,,,,,3,1,2,,,,,,,,,,,,0,,1,2,100,20000,0,2,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2000,2,,,2,,2,,2,
1,11,2,1,"Caprins (Chèvres)",3,1,22500,,,1,7,7,1,,,,,7,1,2,,,,,,,,,,,,0,,2,1,100,110000,0,1,2,1,1,1,0,0,0,0,0,0,0,0,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,6000,2,,,2,,2,,2,
