"vague","grappe","menage","s17q00","s17q01","s17q02","s17q03","s17q51","s17q38b","s17q34b","s17q04","s17q05","s17q06","s17q07a1","s17q07b1","s17q07c1","s17q07d1","s17q07e1","s17q07a2","s17q07a3","s17q07a4","s17q07b2","s17q07b3","s17q07b4","s17q07c2","s17q07c3","s17q07c4","s17q07d2","s17q07d3","s17q07d4","s17q07e2","s17q07e3","s17q08","s17q09","s17q10","s17q11","s17q12","s17q13","s17q14","s17q15__0","s17q15__1","s17q16","s17q17","s17q18a","s17q18b","s17q18c","s17q18d","s17q18e","s17q18f","s17q18g","s17q18h","s17q18i","s17q19","s17q20","s17q21","s17q22__0","s17q22__1","s17q23","s17q24a","s17q24b","s17q25","s17q26","s17q27__0","s17q27__1","s17q28","s17q29","s17q30","s17q31a","s17q31b","s17q32a","s17q32b","s17q33","s17q34a","s17q35","s17q36__0","s17q36__1","s17q37","s17q38a","s17q39","s17q40","s17q41__0","s17q41__1","s17q42","s17q43","s17q44","s17q45","s17q46","s17q47__0","s17q47__1","s17q48","s17q49","s17q50","s17q52","s17q53","s17q54","s17q55","s17q56","s17q57","s17q58","s17q59","s17q60","s17q61"
2,1,7,1,"Caprins (Chèvres)",3,1,,2,,1,20,20,1,2,,,,10,1,1,10,1,2,,,,,,,,,0,,2,1,100,30000,1000,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,10,12,1,2,0,,2,,,,,1,1,2,,,,,,,,,,,,2,,40000,2,,,2,,2,,2,
2,1,7,1,"Asins (Anes)",6,1,,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,2,1,100,50000,2000,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2000,2,,,2,,2,,2,
2,1,8,1,"Ovins (Moutons)",2,1,,,,1,40,40,2,3,1,4,7,3,1,1,4,1,1,25,1,1,4,1,1,2,2,0,,4,1,100,250000,4000,1,2,1,1,0,2,0,0,0,0,0,0,12,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,20000,2,,,2,,2,,2,
2,1,8,1,"Bovins",1,1,,,,1,6,6,1,,,,,6,1,2,,,,,,,,,,,,5,800000,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,1,8,1,"Camelins (Chameaux)",4,1,,2,,1,8,8,1,,,,,8,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,4,12,1,2,0,,2,,,,,1,1,2,,,,,,,,,,,,2,,30000,2,,,2,,2,,2,
2,1,8,1,"Caprins (Chèvres)",3,1,,2,,1,20,20,2,1,3,4,7,10,1,1,7,1,1,1,1,1,1,1,1,1,2,0,,3,1,100,45000,1500,1,2,1,1,0,0,0,0,0,0,0,0,1,2,,,,,2,,,2,,,,1,3,3,1,2,0,,2,,,,,1,1,2,,,,,,,,,,,,2,,4000,2,,,2,,2,,2,
2,1,8,1,"Asins (Anes)",6,1,,,,1,4,4,1,2,,,,3,1,1,1,2,2,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5000,2,,,2,,2,,2,
2,1,9,1,"Caprins (Chèvres)",3,1,,,,1,9,9,1,,,,,9,1,2,,,,,,,,,,,,0,,1,1,100,15000,1500,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,6,12,0.5,1,0,,2,,,,,2,,,,,,,,,,,,,,2,,10000,2,,,2,,2,,2,
2,1,10,1,"Asins (Anes)",6,1,,,,1,2,2,1,,,,,2,1,2,,,,,,,,,,,,0,,1,1,100,30000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5000,2,,,2,,2,,2,
2,1,10,1,"Caprins (Chèvres)",3,1,,,,1,5,5,1,,,,,5,1,2,,,,,,,,,,,,0,,5,1,100,70000,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5000,2,,,2,,2,,2,
2,1,11,1,"Asins (Anes)",6,1,,,,2,2,2,2,,,,,2,1,2,,,,,,,,,,,,0,,1,2,100,50000,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3000,2,,,2,,2,,2,
2,1,11,1,"Poules / poulets",9,1,,,,2,2,2,2,,,,,2,1,2,,,,,,,,,,,,2,10000,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,1000,2,,,2,,2,,2,
2,1,11,1,"Caprins (Chèvres)",3,1,,,,2,10,10,1,,,,,10,1,2,,,,,,,,,,,,0,,8,1,100,125000,18000,1,,1,1,0,2,0,0,0,0,0,0,1,2,,,,,2,,,2,,,,1,4,8,0.25,1,0,,2,,,,,2,,,,,,,,,,,,,,2,,17000,2,,,2,,2,,2,
2,1,12,1,"Caprins (Chèvres)",3,1,,,,1,20,20,1,2,,,,10,1,1,10,1,2,,,,,,,,,0,,5,1,100,79000,7500,1,2,1,1,1,2,0,0,0,0,0,0,3,2,,,,,2,,,2,,,,1,5,12,0.5,1,0,,2,,,,,2,,,,,,,,,,,,,,2,,20000,2,,,2,,2,,2,
2,1,12,1,"Bovins",1,1,,,,1,6,6,1,,,,,6,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,2,8,1,1,0,,2,,,,,2,,,,,,,,,,,,,,2,,30000,2,,,2,,2,,2,
1,3,2,1,"Caprins (Chèvres)",3,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,0,,10,2,100,80000,4000,1,2,1,2,0,0,0,0,0,0,0,0,2,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,3,1,"Poules / poulets",9,1,,,,2,6,6,2,,,,,6,1,2,,,,,,,,,,,,0,,2,2,100,3000,0,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,3,4,1,"Asins (Anes)",6,1,,,,2,1,1,2,,,,,1,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,4,1,"Pintades",10,1,,,,2,3,3,2,,,,,3,1,2,,,,,,,,,,,,0,,0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
1,3,4,1,"Ovins (Moutons)",2,1,,,,2,0,,,,,,,,,,,,,,,,,,,,,0,,2,2,100,25000,1000,2,,1,1,0,0,0,0,0,0,0,0,3,2,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,2,,2,
1,3,4,1,"Poules / poulets",9,1,,,,2,2,2,2,,,,,2,1,2,,,,,,,,,,,,0,,0,,,,,,,1,2,0,0,0,0,0,0,0,0,1,2,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,2,,,2,,2,,2,
