"vague","grappe","menage","s10q02","s10q03","s10q04","s10q05","s10q06","s10q07","s10q08","s10q09","s10q10","s10q11","s10q01"
2,14,4,2,2,2,2,2,2,2,2,1,1,2
2,14,5,2,2,2,2,2,2,2,2,1,1,1
2,14,6,2,2,2,2,2,2,2,2,1,1,2
2,14,7,2,2,2,2,2,2,2,2,1,1,1
2,14,8,2,2,2,2,2,2,2,2,1,1,1
2,14,9,2,2,2,2,2,2,2,2,1,1,1
2,14,10,2,2,2,2,2,2,2,2,1,1,1
2,14,11,2,2,2,2,2,2,2,2,1,1,1
2,14,12,2,2,2,2,2,2,2,2,1,1,1
2,14,15,2,2,2,2,2,2,2,2,1,1,1
1,15,1,2,2,2,2,2,2,2,2,2,0,1
1,15,2,2,2,2,2,2,2,2,2,1,1,1
1,15,3,2,2,2,2,2,2,2,2,2,0,1
1,15,4,2,2,2,2,2,2,2,2,1,1,1
1,15,5,2,2,2,2,2,2,2,2,2,0,1
1,15,6,2,2,2,2,2,2,2,2,2,0,2
1,15,7,2,2,2,1,2,2,2,2,2,1,1
1,15,8,2,2,2,1,2,2,2,2,2,1,1
1,15,9,2,2,2,2,2,2,2,2,2,0,1
1,15,10,2,2,2,2,2,1,2,2,2,1,1
1,15,11,2,2,2,1,2,2,2,2,2,1,1
1,15,12,2,2,2,1,2,2,2,2,2,1,3
2,16,2,2,2,2,2,2,2,2,2,2,0,1
2,16,3,2,2,2,1,2,2,2,2,2,1,1
2,16,4,2,2,2,2,2,2,2,2,2,0,1
2,16,5,2,1,1,2,2,2,2,2,2,1,1
2,16,6,2,2,2,2,2,2,2,2,2,0,1
2,16,7,2,2,2,2,2,2,2,2,2,0,1
2,16,8,2,1,2,2,2,2,2,2,1,1,1
2,16,9,2,2,2,2,2,2,2,2,2,0,1
2,16,10,2,2,2,2,2,2,2,2,2,0,1
2,16,11,2,2,2,1,2,2,2,2,2,1,1
2,16,12,2,2,2,2,2,2,2,2,2,0,1
2,16,15,2,2,2,2,2,2,2,2,2,0,1
1,17,1,2,2,2,2,2,2,2,2,2,0,2
1,17,2,2,2,2,1,2,2,2,2,2,1,2
1,17,3,2,2,2,2,2,2,2,2,2,0,2
1,17,4,2,2,2,2,2,2,2,2,2,0,1
1,17,5,2,2,2,1,2,2,2,2,2,1,2
1,17,6,2,2,2,2,2,2,2,2,2,0,1
1,17,7,2,2,2,1,2,2,2,2,2,1,1
1,17,8,2,2,2,2,2,2,2,2,2,0,1
1,17,9,2,2,2,2,2,2,2,2,2,0,1
1,17,10,2,2,2,2,2,2,2,2,2,0,1
1,17,11,2,2,2,2,2,1,2,2,1,1,2
1,17,12,2,2,2,2,2,2,2,2,1,1,1
2,18,1,2,2,2,2,2,2,2,2,2,0,2
2,18,2,2,2,1,2,2,2,2,2,2,1,1
2,18,3,2,2,2,2,2,2,2,2,2,0,1
2,18,4,2,1,1,2,2,2,2,2,2,1,2
2,18,5,2,2,2,2,2,2,2,2,2,0,1
2,18,6,2,2,2,2,2,2,2,2,2,0,1
2,18,8,2,2,2,2,2,2,2,2,2,0,1
2,18,9,2,2,2,2,2,2,2,2,2,0,2
2,18,10,2,2,2,2,2,2,2,2,2,0,1
2,18,11,2,2,2,2,2,2,2,2,2,0,1
2,18,12,2,2,2,2,2,2,2,2,2,0,1
2,18,14,2,1,2,2,2,2,2,2,2,1,2
1,19,1,2,2,2,1,2,2,2,2,2,1,1
1,19,2,2,2,2,2,2,2,2,2,1,1,1
1,19,3,2,2,2,2,2,2,2,2,1,1,1
1,19,5,2,2,2,2,2,2,2,2,2,0,1
1,19,6,2,2,2,2,2,2,2,2,2,0,1
1,19,7,2,2,2,2,2,2,2,2,2,0,1
1,19,8,2,2,2,2,2,2,2,2,2,0,1
1,19,9,2,2,1,2,1,2,2,2,2,1,1
1,19,10,2,2,2,2,2,2,2,2,2,0,1
1,19,11,2,2,2,2,2,2,2,2,2,0,1
1,19,12,2,2,2,2,2,2,2,2,2,0,1
1,19,15,2,2,2,2,2,2,2,2,2,0,2
2,20,1,2,2,2,2,2,2,2,2,1,1,2
2,20,2,2,2,2,2,2,2,2,2,2,0,2
2,20,3,2,2,1,2,2,2,2,2,2,1,1
2,20,4,2,2,2,1,2,2,2,2,2,1,1
2,20,5,2,2,2,2,2,2,2,2,1,1,1
2,20,6,2,2,2,2,2,2,2,2,2,0,1
2,20,7,2,2,2,2,2,1,2,2,2,1,1
2,20,8,2,2,2,1,2,2,2,2,2,1,1
2,20,9,2,2,2,2,2,2,2,2,1,1,2
2,20,10,2,2,2,1,2,2,2,2,2,1,1
2,20,11,2,2,2,2,2,2,2,2,2,0,1
2,20,12,2,1,2,2,2,2,2,2,2,1,2
1,21,2,2,2,1,2,1,2,2,2,2,1,1
1,21,3,1,2,2,2,2,2,2,2,2,1,2
1,21,4,2,2,1,2,2,2,2,2,2,1,1
1,21,5,2,2,2,1,2,2,2,2,2,1,1
1,21,6,2,2,2,2,2,2,2,2,2,0,5
1,21,7,1,2,2,2,2,2,2,2,2,1,1
1,21,8,2,2,2,2,2,2,2,2,1,1,1
1,21,9,1,2,2,2,2,2,2,2,2,1,2
1,21,10,1,2,2,2,2,2,2,2,2,1,1
1,21,11,2,2,2,2,2,2,2,2,1,1,1
1,21,12,1,2,2,2,2,2,2,2,2,1,1
1,21,13,2,2,2,2,2,2,2,2,2,0,1
1,22,1,2,2,2,1,2,2,2,2,2,1,1
1,22,2,2,2,2,2,1,2,2,2,2,1,2
1,22,4,2,2,2,2,2,2,2,2,2,0,2
1,22,5,2,2,2,2,1,2,2,2,2,1,2
1,22,6,2,2,2,2,2,2,2,2,1,1,4
1,22,7,2,2,2,2,2,2,2,2,2,0,1
1,22,8,2,2,2,1,2,1,2,2,2,1,2
1,22,9,2,2,2,2,2,2,2,2,2,0,1
1,22,10,2,2,2,2,2,2,2,2,2,0,1
1,22,11,2,2,2,2,2,2,2,2,2,0,1
1,22,12,2,2,2,2,2,2,2,2,2,0,2
1,22,13,2,1,2,2,2,2,2,2,2,1,2
1,23,1,2,2,2,2,2,2,2,2,2,0,1
1,23,2,2,2,2,2,2,2,2,2,2,0,4
1,23,3,2,2,2,2,2,2,2,2,1,1,1
1,23,4,2,2,2,2,2,2,2,2,1,1,2
1,23,5,2,2,2,2,2,2,2,2,2,0,5
1,23,6,2,2,2,2,2,2,2,2,2,0,1
1,23,7,2,2,2,2,2,2,2,2,1,1,1
1,23,8,1,2,2,2,1,2,2,2,1,1,2
1,23,9,1,2,2,2,2,2,2,2,2,1,1
1,23,10,1,2,2,2,2,2,2,2,1,1,1
1,23,11,2,2,2,2,1,2,2,2,2,1,1
1,23,12,2,2,2,2,2,2,2,2,2,0,1
2,24,1,2,2,2,2,2,2,2,2,1,1,1
2,24,2,2,2,2,2,2,2,2,2,2,0,1
2,24,3,2,2,2,1,2,2,2,2,2,1,1
2,24,4,2,2,2,2,2,1,2,2,2,1,1
2,24,5,2,2,2,2,2,2,2,2,2,0,1
2,24,6,2,2,2,2,2,2,2,2,2,0,1
2,24,7,2,2,2,2,2,2,2,2,2,0,1
2,24,8,2,2,2,2,2,2,2,2,2,0,1
2,24,9,2,1,2,2,2,2,2,2,2,1,1
2,24,10,2,2,2,2,2,2,2,2,2,0,1
2,24,11,2,2,2,2,2,2,2,2,2,0,1
2,24,12,2,2,2,2,2,2,2,2,2,0,1
1,25,2,2,1,2,1,2,2,2,2,1,1,1
1,25,4,1,2,2,1,2,2,2,2,1,1,1
1,25,5,2,2,1,1,2,2,2,2,2,1,1
1,25,6,2,2,2,1,1,2,2,2,2,1,1
1,25,7,2,2,2,2,2,2,2,2,2,0,1
1,25,8,2,2,2,1,2,2,2,2,2,1,1
1,25,10,1,2,2,2,2,2,2,2,2,1,1
1,25,12,2,2,2,2,2,1,2,2,2,1,2
1,25,13,1,2,2,1,2,2,2,2,2,1,5
1,25,14,2,2,2,2,2,1,2,2,2,1,1
1,25,15,2,1,2,2,2,2,2,2,2,1,1
1,25,16,2,2,1,2,2,2,2,2,2,1,1
2,26,1,2,2,2,2,2,2,2,2,2,0,1
2,26,2,2,2,2,2,2,2,2,2,2,0,1
2,26,3,2,2,2,1,2,2,2,2,2,1,1
2,26,7,2,2,2,2,2,2,2,2,1,1,1
2,26,8,2,2,2,1,2,2,2,2,2,1,1
2,26,9,2,2,2,2,2,2,2,2,2,0,1
2,26,10,2,2,2,2,2,2,2,2,1,1,2
2,26,12,2,2,2,2,2,2,2,2,2,0,1
2,26,13,2,2,2,2,2,2,2,2,2,0,2
2,26,14,2,2,2,2,2,2,2,2,2,0,2
2,26,16,2,2,2,2,2,2,2,2,2,0,2
1,27,1,2,2,2,2,1,2,2,2,2,1,1
1,27,2,2,2,2,2,2,2,2,2,2,0,1
1,27,4,2,2,2,2,2,1,2,2,2,1,2
1,27,5,1,2,2,1,2,2,2,2,2,1,1
1,27,6,2,2,2,2,2,2,2,2,2,0,1
1,27,7,2,2,1,1,2,2,2,2,2,1,1
1,27,8,2,2,2,2,2,2,2,2,2,0,1
1,27,9,2,2,2,2,2,2,2,2,1,1,2
1,27,10,2,2,2,2,2,2,2,2,2,0,1
1,27,11,2,2,1,2,2,2,2,2,2,1,2
1,27,13,2,2,2,2,2,2,2,2,2,0,1
1,27,15,2,2,2,2,2,1,2,2,2,1,1
2,28,1,2,2,2,2,2,2,2,2,2,0,1
2,28,3,2,2,2,2,2,2,2,2,2,0,1
2,28,4,2,2,2,2,2,2,2,2,2,0,1
2,28,5,2,2,2,1,2,2,2,2,1,1,1
2,28,6,2,2,2,2,2,1,2,2,2,1,1
2,28,7,2,2,2,1,2,2,2,2,2,1,1
2,28,8,2,2,2,2,2,2,2,2,2,0,1
2,28,9,2,2,2,2,2,2,2,2,2,0,2
2,28,10,2,2,2,2,2,2,2,2,2,0,2
2,28,12,2,2,2,2,2,2,2,2,1,1,1
2,28,14,2,1,2,2,2,2,2,2,2,1,1
2,28,15,2,2,2,1,2,2,2,2,2,1,1
1,29,2,2,2,2,2,2,2,2,2,2,0,1
1,29,3,2,2,2,2,2,2,2,2,2,0,1
1,29,4,,,,,,,,,,0,
1,29,5,2,2,2,2,2,2,2,2,2,0,1
1,29,6,2,1,2,1,2,2,2,2,1,1,2
1,29,7,2,2,2,2,2,2,2,2,2,0,1
1,29,8,2,2,2,2,2,1,2,2,2,1,1
1,29,9,2,2,2,2,1,2,2,2,2,1,1
1,29,11,1,2,2,2,2,2,2,2,2,1,1
1,29,12,2,2,2,2,2,2,2,2,2,0,1
1,29,13,2,2,2,2,2,2,2,2,2,0,1
1,29,14,2,2,2,1,2,2,2,2,1,1,1
2,30,1,2,2,2,2,2,2,2,2,2,0,1
2,30,2,2,2,2,2,2,2,2,2,2,0,1
2,30,3,2,2,2,2,2,2,2,2,2,0,1
2,30,5,2,2,2,2,2,2,2,2,2,0,2
2,30,6,2,1,2,1,2,2,2,2,2,1,2
2,30,7,2,2,2,2,2,2,2,2,2,0,1
2,30,8,1,2,2,2,2,2,2,2,2,1,5
2,30,9,2,2,2,1,2,1,2,2,2,1,1
2,30,11,2,2,2,2,2,2,2,2,2,0,1
2,30,12,1,2,2,2,2,2,2,2,2,1,1
2,30,14,2,2,2,2,2,2,2,2,2,0,2
2,30,15,2,2,2,2,2,2,2,2,2,0,1
1,31,3,2,2,1,2,1,2,2,2,2,1,1
1,31,5,2,2,2,2,2,2,2,2,2,0,2
1,31,6,2,2,2,2,2,2,2,2,2,0,1
1,31,7,2,2,2,2,2,1,2,2,2,1,1
1,31,8,2,2,2,2,2,2,2,2,2,0,1
1,31,9,2,2,2,1,2,2,2,2,2,1,1
1,31,10,2,2,2,1,2,2,2,2,2,1,1
1,31,11,2,2,2,2,2,2,2,2,1,1,1
1,31,12,2,2,2,2,1,2,2,2,1,1,1
1,31,13,2,2,2,2,2,1,1,2,1,1,1
1,31,16,1,2,2,2,2,2,2,2,1,1,1
2,32,1,2,2,2,2,2,2,2,2,2,0,1
2,32,2,2,2,2,2,2,2,2,2,2,0,1
2,32,3,2,2,2,2,2,2,2,2,2,0,2
2,32,4,2,2,2,2,2,2,2,2,1,1,2
2,32,5,2,2,2,2,2,2,2,2,1,1,1
2,32,6,2,2,2,2,2,2,2,2,2,0,1
2,32,7,2,2,2,2,2,2,2,2,2,0,1
2,32,8,2,2,2,2,2,2,2,2,2,0,2
2,32,10,2,2,2,2,2,2,2,2,2,0,1
2,32,11,2,2,2,2,2,2,2,2,2,0,1
2,32,12,2,2,2,2,2,2,2,2,2,0,1
2,32,16,2,2,2,2,2,2,2,2,2,0,2
1,33,1,2,2,2,1,2,2,2,2,2,1,1
1,33,2,2,2,2,2,2,2,2,2,2,0,1
1,33,3,2,2,1,2,2,2,2,2,2,1,1
1,33,4,2,2,2,2,2,2,2,2,2,0,1
1,33,5,2,2,2,2,2,2,2,2,2,0,1
1,33,6,2,2,2,1,2,2,2,2,2,1,2
1,33,7,2,2,2,2,2,2,2,2,2,0,1
1,33,8,2,1,2,2,2,2,2,2,2,1,1
1,33,9,1,2,2,2,2,2,2,2,2,1,1
1,33,10,2,2,2,2,2,2,2,2,2,0,1
1,33,11,1,2,2,2,2,2,2,2,1,1,1
1,33,12,2,2,2,2,2,2,2,1,2,1,1
2,34,1,2,2,2,2,2,2,2,2,2,0,2
2,34,3,2,2,2,2,2,1,2,2,2,1,2
2,34,4,2,2,2,2,2,2,2,2,2,0,1
2,34,5,2,1,2,2,2,2,2,2,2,1,7
2,34,6,2,2,2,2,1,2,2,2,2,1,4
2,34,7,2,2,2,2,2,2,2,2,2,0,2
2,34,8,2,2,2,1,2,2,2,2,2,1,1
2,34,9,2,2,2,2,2,2,2,2,2,0,2
2,34,10,2,2,2,2,2,2,1,2,2,1,2
2,34,11,2,2,2,2,2,2,2,2,2,0,7
2,34,12,2,1,2,2,2,2,2,2,2,1,2
2,34,16,2,2,2,2,2,2,2,2,2,0,1
1,35,1,1,2,2,2,1,2,2,2,2,1,2
1,35,2,2,1,2,2,2,2,2,2,2,1,2
1,35,3,2,2,1,2,2,2,2,2,2,1,1
1,35,4,2,2,2,2,2,1,2,2,2,1,1
1,35,5,2,2,1,2,2,2,2,2,2,1,2
1,35,6,2,2,2,2,2,2,2,2,2,0,1
1,35,7,2,2,2,2,2,1,2,2,2,1,1
1,35,8,2,2,2,2,2,2,2,2,2,0,1
1,35,9,2,2,2,2,2,2,2,2,2,0,1
1,35,10,2,2,2,2,2,2,2,2,1,1,1
1,35,11,2,2,2,2,2,1,2,2,2,1,1
1,35,12,2,2,2,2,2,2,2,2,2,0,1
2,36,1,2,2,2,2,2,2,2,2,2,0,1
2,36,2,2,2,2,2,2,1,2,2,2,1,1
2,36,3,2,2,2,2,2,2,2,2,1,1,2
2,36,4,2,2,2,2,2,2,2,2,2,0,1
2,36,5,2,2,2,2,2,2,2,2,2,0,1
2,36,6,2,2,2,2,2,2,2,2,1,1,1
2,36,7,2,2,2,2,2,2,2,2,2,0,1
2,36,8,2,2,2,2,2,2,2,2,1,1,1
2,36,9,2,2,2,2,2,2,2,2,1,1,1
2,36,10,2,2,2,2,2,2,2,2,2,0,1
2,36,11,2,2,2,2,2,2,2,2,2,0,1
2,36,12,2,2,2,2,2,2,2,2,2,0,1
1,37,1,2,2,2,2,2,2,2,2,1,1,2
1,37,2,2,2,2,1,2,2,2,2,2,1,1
1,37,3,2,2,2,2,2,2,2,2,1,1,3
1,37,4,2,2,2,2,2,1,2,2,1,1,1
1,37,6,2,2,2,2,2,2,2,2,1,1,1
1,37,7,2,2,2,2,2,2,2,2,1,1,1
1,37,8,2,2,2,2,2,2,2,2,1,1,1
1,37,9,2,2,2,2,2,2,2,2,1,1,1
1,37,10,2,2,2,2,2,2,2,2,1,1,1
1,37,11,2,2,2,1,2,2,2,2,2,1,2
1,37,13,2,2,2,2,2,2,2,2,2,0,2
1,37,14,2,2,2,2,2,2,2,2,2,0,1
2,38,1,2,2,2,2,2,2,2,2,2,0,1
2,38,2,2,2,2,2,1,2,2,2,1,1,2
2,38,3,2,2,2,2,2,2,2,2,2,0,1
2,38,4,2,2,2,2,2,2,2,2,2,0,3
2,38,5,2,2,2,2,2,2,2,2,2,0,1
2,38,6,2,1,2,2,2,2,2,2,2,1,1
2,38,7,2,2,2,2,2,2,2,2,1,1,1
2,38,8,2,2,2,2,2,2,2,2,2,0,1
2,38,9,2,2,2,2,2,2,2,2,2,0,1
2,38,10,2,2,2,2,2,2,2,2,2,0,1
2,38,11,2,2,2,2,2,2,2,2,2,0,1
2,38,12,2,2,2,2,2,2,2,2,2,0,1
1,39,1,2,2,2,2,2,2,2,2,2,0,2
1,39,2,2,2,2,1,2,2,2,2,1,1,2
1,39,3,2,2,2,2,2,2,2,2,1,1,1
1,39,4,2,2,2,2,2,2,2,2,1,1,2
1,39,5,1,2,2,2,2,2,2,2,1,1,2
1,39,6,2,2,2,2,2,2,2,2,1,1,2
1,39,7,2,2,2,2,2,2,2,2,1,1,2
1,39,8,2,2,2,1,1,2,2,2,1,1,1
1,39,9,2,2,2,2,2,2,2,2,1,1,1
1,39,10,2,2,2,2,2,2,2,2,1,1,1
1,39,11,2,2,2,2,2,2,2,2,2,0,1
1,39,12,2,2,2,2,2,2,2,2,1,1,2
2,40,1,2,2,2,2,2,2,2,2,2,0,1
2,40,2,2,2,2,2,2,2,2,2,2,0,1
2,40,3,2,2,2,2,2,2,2,2,2,0,1
2,40,4,2,2,2,2,2,2,2,2,2,0,1
2,40,5,2,2,2,2,2,2,2,2,2,0,1
2,40,6,2,2,2,2,2,2,2,2,1,1,1
2,40,7,2,2,2,2,2,2,2,2,2,0,1
2,40,8,2,2,2,2,2,2,2,2,2,0,1
2,40,9,2,2,2,2,2,2,2,2,1,1,2
2,40,10,2,2,2,2,2,2,2,2,2,0,1
2,40,11,2,2,2,2,2,2,2,2,2,0,1
2,40,12,2,2,2,2,2,2,2,2,2,0,2
1,41,1,2,2,2,2,2,2,2,2,2,0,1
1,41,2,2,2,2,2,2,2,2,2,2,0,1
1,41,3,2,2,2,2,2,2,2,2,2,0,1
1,41,4,2,2,2,2,2,2,2,2,2,0,1
1,41,5,2,2,2,2,2,2,2,2,2,0,2
1,41,6,2,2,2,2,2,2,2,2,1,1,1
1,41,7,2,2,2,2,2,2,2,2,2,0,1
1,41,8,2,2,2,2,2,1,2,2,2,1,1
1,41,9,2,2,2,2,2,2,2,2,2,0,1
1,41,10,2,2,2,2,2,2,2,2,1,1,1
1,41,11,2,2,2,2,2,2,2,2,2,0,1
1,41,12,2,2,2,2,2,2,2,2,2,0,2
2,42,1,2,2,2,2,2,2,2,2,1,1,1
2,42,2,2,2,2,2,2,2,2,2,2,0,1
2,42,3,2,2,2,1,2,2,2,2,2,1,1
2,42,4,2,2,2,2,2,2,2,2,2,0,1
