"grappe","vague","s00q02","s00q03","s00q04__1","s00q04__2","s00q04__3","s00q04__4","s00q04__5","s00q04__6","s00q04__7","s00q04__8","s00q04__9","s00q05","s00q06"
201,1,2,27,0,0,1,0,0,0,0,0,0,1,4
367,1,1,35,0,1,0,0,0,0,0,0,0,35,1
243,1,1,63,0,0,0,0,0,0,0,0,1,63,1
123,1,1,57,0,0,0,0,0,0,1,0,0,57,1
65,2,2,42,0,0,0,0,0,0,0,0,1,42,1
26,2,1,51,1,0,0,0,0,0,0,0,0,32,2
144,2,1,45,0,0,0,0,0,0,0,0,1,45,2
45,1,1,68,1,0,0,0,0,0,0,0,0,25,2
158,2,2,39,0,0,0,0,0,0,0,0,1,39,1
330,2,1,50,0,1,0,0,0,0,0,0,0,50,1
50,2,1,84,1,0,0,0,0,0,0,0,0,50,1
710,2,1,61,0,1,0,0,0,0,0,0,0,61,1
319,1,2,45,0,0,0,0,0,0,0,0,1,45,1
66,2,1,60,0,1,0,0,0,0,0,0,0,60,1
386,2,1,65,0,0,0,0,0,0,1,0,0,65,1
381,1,1,36,0,1,0,0,0,0,0,0,0,34,1
152,2,1,56,0,0,0,0,0,0,0,0,1,43,1
496,2,1,48,0,0,0,1,0,0,0,0,0,7,4
297,1,1,54,0,1,0,0,0,0,0,0,0,22,2
437,1,1,61,0,1,0,0,0,0,0,0,0,61,1
395,1,1,53,0,0,0,0,0,0,0,0,1,33,2
324,2,1,60,1,0,0,0,0,0,0,0,0,60,1
85,1,1,35,0,1,0,0,0,0,0,0,0,35,2
418,2,1,70,1,0,0,0,0,0,0,0,0,70,1
481,1,2,36,0,0,0,0,0,0,0,0,1,36,3
385,1,1,55,1,0,0,0,0,0,0,0,0,55,1
37,1,2,50,0,0,0,0,0,0,0,0,1,50,1
91,1,1,60,0,1,0,0,0,0,0,0,0,15,1
298,2,1,80,0,1,0,0,0,0,0,0,0,80,1
238,2,1,38,0,0,0,0,0,0,0,0,1,1,1
336,2,1,57,0,1,0,0,0,0,0,0,0,57,1
24,2,1,34,0,1,0,0,0,0,0,0,0,34,1
30,2,1,48,1,0,0,0,0,0,0,0,0,48,2
223,1,1,30,0,0,0,0,0,0,0,0,1,30,1
181,1,1,60,1,0,0,0,0,0,0,0,0,60,1
372,2,1,48,0,0,1,0,0,0,0,0,0,0,5
477,1,1,37,0,0,1,0,0,0,0,0,0,37,4
368,2,1,42,0,0,0,0,0,0,0,0,1,7,2
432,2,1,45,0,0,0,0,0,0,0,0,1,15,2
224,2,1,45,0,0,0,1,0,0,0,0,0,10,4
318,2,1,66,0,0,0,0,0,0,1,0,0,40,1
184,2,1,75,0,0,0,0,0,0,0,0,1,75,1
43,1,1,42,0,1,0,0,0,0,0,0,0,18,1
704,2,1,65,1,0,0,0,0,0,0,0,0,50,4
12,2,1,55,1,0,0,0,0,0,0,0,0,55,1
221,1,1,32,0,1,0,0,0,0,0,0,0,1,2
405,1,1,50,0,0,0,0,0,0,0,0,1,50,2
131,1,1,44,0,0,1,0,0,0,0,0,0,3,5
288,2,1,42,0,0,1,0,0,0,0,0,0,1,5
320,2,1,36,0,0,0,0,0,0,0,0,1,13,2
97,1,1,37,0,1,0,0,0,0,0,0,0,30,1
70,2,1,70,0,1,0,0,0,0,0,0,0,10,1
305,1,1,61,0,1,0,0,0,0,0,0,0,61,1
374,2,1,49,0,0,0,0,0,0,0,0,1,17,1
108,2,2,72,0,0,0,0,0,0,0,0,1,72,1
278,2,1,58,0,0,0,0,0,0,0,0,1,58,1
240,2,1,49,1,0,0,0,0,0,0,0,0,49,4
137,1,1,65,0,1,0,0,0,0,0,0,0,65,1
156,2,1,30,0,0,0,0,0,0,0,0,1,30,1
245,1,1,27,0,0,1,0,0,0,0,0,0,6,4
257,1,1,27,0,0,0,0,0,1,0,0,0,27,1
408,2,1,35,0,0,0,0,0,0,1,0,0,35,1
34,2,2,58,0,1,0,0,0,0,0,0,0,58,1
327,1,2,57,0,0,0,0,0,0,0,0,1,57,1
474,2,1,61,1,0,0,0,0,0,0,0,0,61,2
209,1,1,38,0,0,0,0,0,0,0,0,1,8,3
274,2,1,45,0,0,0,0,0,0,1,0,0,45,1
378,2,1,70,0,0,0,0,0,0,1,0,0,70,1
71,1,1,67,0,1,0,0,0,0,0,0,0,67,1
128,2,1,45,0,0,0,1,0,0,0,0,0,4,4
487,1,1,71,0,1,0,0,0,0,0,0,0,32,1
393,1,1,40,0,1,0,0,0,0,0,0,0,40,1
207,1,1,33,1,0,0,0,0,0,0,0,0,1,2
79,1,1,25,0,0,0,0,0,1,0,0,0,25,1
315,1,1,65,0,1,0,0,0,0,0,0,0,65,1
35,1,2,55,0,0,0,0,0,0,0,0,1,32,3
357,1,1,40,0,0,0,0,0,0,0,0,1,40,1
166,2,1,42,0,0,0,0,0,0,0,0,1,42,1
102,2,1,38,0,1,0,0,0,0,0,0,0,38,1
482,2,1,65,0,0,0,0,0,0,0,0,1,9,5
132,2,1,52,0,0,0,0,0,0,0,0,1,52,1
15,1,1,54,0,1,0,0,0,0,0,0,0,54,1
205,1,1,60,0,1,0,0,0,0,0,0,0,60,1
321,1,1,52,0,1,0,0,0,0,0,0,0,52,1
454,2,1,58,1,0,0,0,0,0,0,0,0,58,2
346,2,1,69,0,0,0,0,0,0,0,1,0,35,1
494,2,1,72,1,0,0,0,0,0,0,0,0,35,5
164,2,1,41,0,1,0,0,0,0,0,0,0,41,1
160,2,1,75,0,1,0,0,0,0,0,0,0,75,1
456,2,1,28,0,0,0,0,0,1,0,0,0,28,1
104,1,2,48,0,0,0,0,0,0,0,0,1,16,1
312,2,2,58,0,0,0,0,0,0,0,0,1,58,1
479,1,1,39,0,0,0,0,0,0,1,0,0,39,3
175,1,1,48,0,0,0,0,0,1,0,0,0,20,1
106,2,2,50,0,0,0,0,0,0,0,0,1,50,1
402,2,1,43,0,0,0,0,0,0,0,0,1,15,1
430,2,1,48,0,1,0,0,0,0,0,0,0,30,3
352,2,1,80,0,0,0,0,0,0,0,0,1,28,2
69,1,1,60,1,0,0,0,0,0,0,0,0,60,1
204,2,1,51,0,1,0,0,0,0,0,0,0,51,1
195,1,1,38,0,1,0,0,0,0,0,0,0,38,2
127,1,1,60,0,0,0,0,0,0,1,0,0,60,1
87,1,1,47,0,1,0,0,0,0,0,0,0,47,1
200,2,1,58,1,0,0,0,0,0,0,0,0,58,1
301,1,1,28,0,0,0,0,0,0,0,0,1,28,3
10,2,1,55,1,0,0,0,0,0,0,0,0,38,2
56,2,1,48,0,1,0,0,0,0,0,0,0,48,1
373,1,2,50,0,0,0,0,0,1,0,0,0,35,1
162,2,1,38,0,1,0,0,0,0,0,0,0,38,1
115,1,1,37,0,1,0,0,0,0,0,0,0,37,2
306,2,1,50,0,0,0,0,0,1,0,0,0,10,1
433,1,1,63,0,0,0,0,0,0,0,0,1,63,2
73,1,1,55,1,0,0,0,0,0,0,0,0,39,1
299,1,1,55,0,1,0,0,0,0,0,0,0,55,1
93,1,1,74,0,1,0,0,0,0,0,0,0,74,1
708,2,2,56,0,0,0,0,0,0,0,0,1,42,1
289,2,1,48,0,1,0,0,0,0,0,0,0,48,1
3,1,1,38,0,0,0,0,0,0,0,0,1,1,1
88,1,2,60,0,0,0,0,0,0,0,0,1,30,1
391,1,1,51,0,0,1,0,0,0,0,0,0,5,3
355,1,2,58,0,0,0,0,0,0,0,0,1,58,1
276,2,1,60,0,0,0,0,0,0,0,0,1,60,1
211,1,2,41,0,0,0,0,0,0,0,0,1,41,1
485,1,1,45,0,1,0,0,0,0,0,0,0,45,1
114,2,2,51,0,1,0,0,0,0,0,0,0,51,1
354,2,2,50,0,0,0,0,0,0,0,0,1,36,1
124,2,1,77,0,1,0,0,0,0,0,0,0,77,1
342,2,2,48,0,0,0,0,0,0,0,0,1,48,2
365,1,1,60,0,1,0,0,0,0,0,0,0,60,1
311,1,1,33,0,0,0,0,0,0,0,0,1,33,3
270,2,1,45,0,0,0,0,0,0,0,0,1,45,1
317,1,1,63,1,0,0,0,0,0,0,0,0,63,3
414,2,1,53,0,1,0,0,0,0,0,0,0,53,1
255,1,1,56,0,1,0,0,0,0,0,0,0,10,1
407,1,1,75,0,0,0,0,0,0,0,0,1,30,1
500,2,2,54,0,0,0,0,0,0,0,0,1,54,3
428,2,1,62,0,0,0,0,0,0,1,0,0,6,1
337,1,1,69,0,1,0,0,0,0,0,0,0,69,1
326,2,1,65,0,1,0,0,0,0,0,0,0,15,1
44,2,1,53,1,0,0,0,0,0,0,0,0,38,2
16,2,1,65,1,0,0,0,0,0,0,0,0,65,2
411,1,1,75,0,0,0,0,0,0,1,0,0,45,1
363,1,1,45,1,0,0,0,0,0,0,0,0,45,2
422,2,1,40,0,0,1,0,0,0,0,0,0,2,4
2,2,1,49,0,1,0,0,0,0,0,0,0,49,3
399,1,1,45,0,1,0,0,0,0,0,0,0,45,1
361,1,1,48,0,1,0,0,0,0,0,0,0,48,1
78,2,1,60,0,1,0,0,0,0,0,0,0,60,1
252,2,2,65,0,0,0,0,0,0,0,0,1,65,1
263,1,1,47,0,0,0,0,0,0,0,0,1,47,1
304,2,2,55,0,0,0,0,0,0,0,0,1,55,1
499,1,2,35,0,0,0,0,0,0,0,0,1,35,5
1,2,1,67,1,0,0,0,0,0,0,0,0,67,1
215,1,1,35,0,0,1,0,0,0,0,0,0,2,4
480,2,1,63,0,1,0,0,0,0,0,0,0,63,1
169,1,1,75,0,1,0,0,0,0,0,0,0,75,1
425,1,1,50,0,0,0,0,0,0,1,0,0,5,1
366,2,1,60,0,0,0,0,0,0,0,0,1,0,1
140,2,1,54,0,1,0,0,0,0,0,0,0,20,1
167,1,1,70,0,1,0,0,0,0,0,0,0,70,1
72,2,1,60,1,0,0,0,0,0,0,0,0,60,1
261,1,1,43,0,1,0,0,0,0,0,0,0,43,1
383,1,1,30,0,1,0,0,0,0,0,0,0,30,1
483,1,1,52,0,0,0,0,0,0,1,0,0,30,3
334,2,1,50,1,0,0,0,0,0,0,0,0,50,3
117,1,1,34,0,0,1,0,0,0,0,0,0,5,4
307,1,1,40,0,1,0,0,0,0,0,0,0,40,1
282,2,1,50,0,1,0,0,0,0,0,0,0,50,1
36,2,1,35,0,1,0,0,0,0,0,0,0,35,1
33,1,2,41,0,0,0,0,0,0,0,0,1,41,1
419,1,2,35,0,0,0,0,0,0,0,0,1,24,1
460,2,1,67,0,0,0,0,0,1,0,0,0,20,1
150,2,2,60,0,0,0,0,0,0,0,0,1,41,1
143,1,1,51,0,0,0,0,0,0,1,0,0,51,1
161,1,1,50,0,0,1,0,0,0,0,0,0,16,5
259,1,1,45,0,1,0,0,0,0,0,0,0,10,1
464,2,1,60,0,1,0,0,0,0,0,0,0,60,1
466,2,1,73,0,1,0,0,0,0,0,0,0,30,1
416,2,1,50,0,1,0,0,0,0,0,0,0,50,1
705,2,1,45,0,1,0,0,0,0,0,0,0,45,1
31,1,1,70,1,0,0,0,0,0,0,0,0,35,1
38,2,1,27,0,1,0,0,0,0,0,0,0,27,1
476,2,1,48,0,0,0,0,0,1,0,0,0,21,2
220,2,1,70,0,0,0,0,0,0,1,0,0,10,1
189,1,1,63,0,1,0,0,0,0,0,0,0,63,1
404,2,1,38,0,0,0,0,0,0,0,0,1,38,2
197,1,1,27,0,0,0,0,0,0,0,0,1,12,1
244,2,1,30,0,0,0,0,0,0,0,0,1,0,2
21,1,1,40,0,0,1,0,0,0,0,0,0,4,5
241,1,1,42,0,0,0,0,0,0,0,0,1,42,1
99,1,1,33,0,0,0,0,0,1,0,0,0,33,1
343,1,1,32,0,0,0,0,0,0,0,0,1,32,1
142,2,1,47,0,0,0,0,0,0,0,1,0,35,1
86,1,1,44,1,0,0,0,0,0,0,0,0,44,1
420,2,1,35,0,0,0,0,0,0,0,0,1,7,1
313,1,1,28,0,0,0,0,0,0,0,0,1,28,3
296,2,1,60,0,1,0,0,0,0,0,0,0,60,1
7,1,1,52,0,0,0,0,0,1,0,0,0,11,1
136,2,1,47,0,1,0,0,0,0,0,0,0,47,1
28,2,1,42,0,1,0,0,0,0,0,0,0,6,4
222,2,1,27,0,0,0,0,0,0,0,0,1,5,1
105,1,1,56,1,0,0,0,0,0,0,0,0,56,1
59,2,1,63,0,1,0,0,0,0,0,0,0,63,1
145,1,1,38,0,1,0,0,0,0,0,0,0,38,1
98,2,1,41,0,1,0,0,0,0,0,0,0,20,1
172,2,1,42,0,0,0,0,0,1,0,0,0,42,1
347,1,1,52,0,1,0,0,0,0,0,0,0,52,2
272,1,1,27,0,0,0,0,0,0,0,0,1,27,1
177,1,1,67,1,0,0,0,0,0,0,0,0,40,1
53,1,1,33,0,0,1,0,0,0,0,0,0,1,4
110,2,1,39,0,1,0,0,0,0,0,0,0,39,1
266,2,1,66,0,1,0,0,0,0,0,0,0,66,2
268,2,1,56,0,0,0,0,0,0,0,1,0,56,1
247,1,1,53,0,0,0,0,0,1,0,0,0,53,1
242,2,1,39,0,1,0,0,0,0,0,0,0,25,2
11,1,1,38,0,0,0,1,0,0,0,0,0,0,4
191,1,1,21,0,0,0,0,0,0,0,0,1,21,4
701,2,1,36,0,1,0,0,0,0,0,0,0,36,1
48,2,1,54,1,0,0,0,0,0,0,0,0,54,1
32,2,1,52,0,1,0,0,0,0,0,0,0,17,1
6,2,1,48,0,1,0,0,0,0,0,0,0,30,1
707,2,1,55,0,1,0,0,0,0,0,0,0,55,1
254,2,1,50,0,1,0,0,0,0,0,0,0,12,4
323,1,1,60,0,1,0,0,0,0,0,0,0,60,1
227,1,1,51,0,0,0,0,0,0,1,0,0,15,1
277,2,1,40,0,0,0,0,0,0,0,0,1,20,1
20,2,1,53,0,1,0,0,0,0,0,0,0,53,4
176,2,2,52,0,0,0,0,0,0,0,0,1,52,1
329,1,1,30,0,1,0,0,0,0,0,0,0,30,1
421,1,1,80,0,0,0,0,0,0,0,0,1,80,1
353,2,2,63,0,0,0,0,0,0,0,0,1,63,1
84,2,1,65,0,1,0,0,0,0,0,0,0,65,1
314,2,2,35,0,1,0,0,0,0,0,0,0,35,1
397,1,1,60,0,0,0,0,0,0,1,0,0,23,1
475,1,1,38,0,0,0,0,0,1,0,0,0,38,4
462,2,1,45,0,0,0,0,0,1,0,0,0,45,2
64,1,1,63,0,1,0,0,0,0,0,0,0,63,1
202,2,1,45,0,0,0,0,0,0,1,0,0,45,1
401,1,1,67,0,0,0,0,0,1,0,0,0,10,1
203,1,1,78,1,0,0,0,0,0,0,0,0,62,1
229,1,1,63,1,0,0,0,0,0,0,0,0,63,2
196,2,1,70,0,0,0,0,0,0,0,0,1,70,1
225,1,1,57,0,0,0,0,0,1,0,0,0,57,1
370,2,1,62,0,0,0,0,0,0,0,0,1,62,1
42,2,1,54,1,0,0,0,0,0,0,0,0,54,1
49,1,1,42,0,1,0,0,0,0,0,0,0,42,1
265,1,1,40,0,0,0,0,0,0,0,0,1,40,1
217,1,1,68,0,1,0,0,0,0,0,0,0,68,1
431,1,1,68,1,0,0,0,0,0,0,0,0,8,1
18,2,1,63,0,1,0,0,0,0,0,0,0,63,1
702,2,1,45,0,1,0,0,0,0,0,0,0,25,1
212,2,1,39,0,0,1,0,0,0,0,0,0,0,4
253,1,2,38,0,0,0,0,0,0,0,0,1,25,1
345,1,1,75,0,1,0,0,0,0,0,0,0,75,1
178,2,1,50,0,0,0,0,0,1,0,0,0,40,2
280,2,1,55,0,0,0,0,0,0,0,0,1,3,1
77,1,1,50,0,1,0,0,0,0,0,0,0,50,1
394,2,1,70,0,0,0,0,0,0,1,0,0,20,1
76,2,1,51,1,0,0,0,0,0,0,0,0,51,3
359,1,1,52,0,1,0,0,0,0,0,0,0,52,1
377,1,1,55,0,1,0,0,0,0,0,0,0,2,1
473,1,2,28,0,0,0,1,0,0,0,0,0,28,4
424,2,1,76,0,0,0,0,0,0,1,0,0,46,1
349,1,1,35,0,0,0,0,0,0,0,0,1,35,1
332,2,1,49,0,0,0,0,0,0,0,0,1,7,2
497,1,1,40,0,0,1,0,0,0,0,0,0,40,3
210,2,1,46,0,0,0,0,0,0,0,0,1,5,2
188,2,1,60,0,1,0,0,0,0,0,0,0,60,1
375,1,1,40,0,0,0,0,0,0,0,0,1,1,1
706,2,1,43,0,0,0,0,0,1,0,0,0,2,2
199,1,1,45,0,1,0,0,0,0,0,0,0,45,1
52,2,1,35,0,1,0,0,0,0,0,0,0,35,1
387,1,1,32,0,0,0,0,0,0,0,0,1,20,1
246,2,1,45,0,0,0,0,0,0,0,0,1,45,1
116,2,1,74,1,0,0,0,0,0,0,0,0,74,1
125,1,1,46,1,0,0,0,0,0,0,0,0,46,1
112,2,1,38,0,0,0,0,0,0,0,0,1,38,1
126,2,1,67,0,1,0,0,0,0,0,0,0,67,1
25,1,1,60,0,0,0,0,0,0,1,0,0,20,1
148,2,1,43,0,1,0,0,0,0,0,0,0,43,1
119,1,1,72,0,0,0,0,0,0,1,0,0,72,1
309,1,1,55,0,0,0,0,0,0,0,0,1,55,1
439,1,1,65,0,1,0,0,0,0,0,0,0,65,1
47,1,2,31,0,0,0,0,0,0,0,0,1,31,1
406,2,1,70,0,1,0,0,0,0,0,0,0,70,1
134,2,1,65,0,1,0,0,0,0,0,0,0,40,1
371,1,1,35,0,0,0,0,0,0,0,0,1,4,1
129,1,1,70,1,0,0,0,0,0,0,0,0,70,1
180,2,1,45,0,0,0,0,0,0,0,0,1,3,3
146,2,1,70,0,0,0,0,0,0,0,0,1,70,1
94,2,1,63,0,0,0,0,0,0,1,0,0,50,1
183,1,1,34,0,0,0,0,0,0,0,0,1,34,1
147,1,1,60,0,0,0,0,0,0,0,0,1,60,1
376,2,1,70,0,0,0,0,0,0,0,0,1,70,1
396,2,1,45,0,0,0,0,0,0,0,0,1,12,1
57,1,2,27,0,0,0,0,0,0,0,0,1,27,1
369,1,1,70,0,0,0,0,0,0,1,0,0,70,1
109,1,2,70,0,1,0,0,0,0,0,0,0,70,1
27,1,2,35,0,0,0,1,0,0,0,0,0,5,4
362,2,1,37,0,1,0,0,0,0,0,0,0,3,1
107,1,1,62,0,1,0,0,0,0,0,0,0,12,1
492,2,1,42,0,0,0,0,0,1,0,0,0,42,2
